hotel_country,Population,Area
China,1339450000,9596960.0
India,1187550000,3287590.0
United States,310241000,9372610.0
Indonesia,237556000,1919440.0
Brazil,193467000,8547000.0
Pakistan,170532000,803940.0
Bangladesh,164425000,144000.0
Nigeria,158259000,923768.0
Russia,141927000,17075400.0
Japan,127390000,377835.0
Mexico,108396000,1972550.0
Philippines,94013000,298170.0
Vietnam,85847000,329560.0
Ethiopia,84390000,1104300.0
Germany,81802000,357022.0
Egypt,79020000,1001450.0
Iran,75078000,1648000.0
Turkey,72561000,780580.0
"Congo, Democratic Republic",67827000,2345410.0
Thailand,67470000,514000.0
France,65447000,547030.0
United Kingdom,62008000,244101.0
Italy,60402000,301230.0
Myanmar,50496000,678500.0
South Africa,49991000,1219912.0
South Korea,49773000,99274.0
Spain,46073000,504782.0
Ukraine,45872000,603700.0
Colombia,45618000,1138910.0
Tanzania,45040000,945090.0
Sudan,40850000,2505810.0
Argentina,40519000,2760990.0
Kenya,39649000,582650.0
Poland,38167000,312685.0
Algeria,35423000,2381740.0
Canada,34242000,9984670.0
Uganda,33796000,236040.0
Morocco,31921000,446550.0
Iraq,31467000,437072.0
Nepal,29853000,147181.0
Peru,29462000,1285220.0
Afghanistan,29117000,647500.0
Venezuela,28926000,916445.0
Malaysia,28900000,329758.0
Uzbekistan,27794000,447400.0
Ghana,24333000,238540.0
Yemen,24256000,527970.0
North Korea,23991000,120540.0
Mozambique,23406000,801590.0
Syria,22505000,185180.0
Australia,22450000,7686850.0
Cote d'Ivoire,21571000,322460.0
Romania,21466000,237500.0
Saudi Arabia,21137000,2218000.0
Sri Lanka,20410000,65610.0
Madagascar,20146000,587041.0
Cameroon,19958000,475440.0
Angola,18993000,1246700.0
Chile,17129000,756950.0
Netherlands,16614000,41526.0
Burkina Faso,16287000,274400.0
Kazakhstan,16197000,2717300.0
Niger,15891000,1267000.0
Malawi,15692000,118480.0
Mali,14895000,1240000.0
Guatemala,14377000,108890.0
Ecuador,14246000,283560.0
Cambodia,13396000,181040.0
Zambia,13257000,752614.0
Senegal,12861000,196722.0
Zimbabwe,12644000,390580.0
Greece,11306000,131940.0
Chad,11274000,1284000.0
Cuba,11204000,110992.0
Belgium,10827000,32545.0
Portugal,10637000,92391.0
Tunisia,10533000,163610.0
Czech Republic,10512000,78866.0
Guinea,10324000,245857.0
Rwanda,10277000,26338.0
Dominican Republic,10225000,48730.0
Haiti,10188000,27750.0
Bolivia,10031000,1098580.0
Hungary,10014000,93030.0
Serbia,9856000,88361.0
Belarus,9468000,207600.0
Sweden,9380000,449964.0
Somalia,9359000,637657.0
Benin,9212000,112620.0
Azerbaijan,8997400,86600.0
Burundi,8519000,27830.0
Austria,8373000,83871.0
Switzerland,7783000,41290.0
Israel,7628000,26900.0
Honduras,7616000,112090.0
Bulgaria,7577000,110910.0
Tajikistan,7075000,143100.0
Papua New Guinea,6888000,462840.0
Togo,6780000,56785.0
Libya,6546000,1759540.0
Jordan,6472000,92300.0
Paraguay,6460000,406750.0
Laos,6436000,236800.0
El Salvador,6194000,21040.0
Sierra Leone,5836000,71740.0
Nicaragua,5822000,129494.0
Kyrgyzstan,5550000,198500.0
Denmark,5544000,43094.0
Slovakia,5430000,48845.0
Finland,5368000,338145.0
Eritrea,5224000,121320.0
Turkmenistan,5177000,488100.0
Singapore,5077000,693.0
Norway,4902000,386000.0
United Arab Emirates,4707000,83600.0
Costa Rica,4640000,51100.0
Ireland,4515000,70273.0
Central African Republic,4506000,622984.0
Georgia,4436000,69700.0
Croatia,4433000,56542.0
New Zealand,4389000,268680.0
Lebanon,4255000,10452.0
Bosnia and Herzegovina,3760000,51129.0
"Congo, Republic",3759000,342000.0
Liberia,3665000,111370.0
Moldova,3564000,33843.0
Uruguay,3372000,176220.0
Mauritania,3366000,1030700.0
Lithuania,3329000,65200.0
Panama,3323000,75570.0
Armenia,3238000,29800.0
Albania,3195000,28748.0
Kuwait,3051000,17818.0
Oman,2905000,309500.0
Mongolia,2773000,1564116.0
Jamaica,2730000,10991.0
Latvia,2237000,64589.0
Namibia,2212000,825418.0
Lesotho,2084000,30355.0
Slovenia,2064000,20253.0
Macedonia,2055000,25333.0
Botswana,1978000,600370.0
Gambia,1751000,11300.0
Qatar,1697000,11437.0
Guinea-Bissau,1647000,36120.0
Gabon,1501000,267667.0
Trinidad and Tobago,1344000,5128.0
Estonia,1340000,45226.0
Mauritius,1297000,2040.0
Swaziland,1202000,17363.0
East Timor,1171000,14900.0
Djibouti,879000,23000.0
Fiji,854000,18270.0
Bahrain,807000,695.0
Cyprus,802000,9250.0
Guyana,761000,214970.0
Bhutan,708000,46500.0
